Pergunta,Opção1,Opção2,Opção3,Opção4,Resposta
Em que ano ocorreu a Independência do Brasil?,1808,1822,1889,1910,2
Quem foi o primeiro presidente do Brasil?,Getúlio Vargas,Dom Pedro II,Marechal Deodoro,JK,3
Qual guerra durou de 1939 a 1945?,Primeira Guerra Mundial,Segunda Guerra Mundial,Guerra Fria,Guerra Civil,2
Quem descobriu o Brasil?,Pedro Álvares Cabral,Cristóvão Colombo,Vasco da Gama,Dom João VI,1
Em que ano começou a Revolução Francesa?,1750,1789,1815,1848,2
Quem foi o líder da Revolução Russa de 1917?,Karl Marx,Lenin,Stalin,Trotsky,2
Qual foi a primeira capital do Brasil?,Salvador,Rio de Janeiro,Brasília,Recife,1
Qual país foi o principal inimigo na Guerra Fria contra os EUA?,China,Alemanha,Rússia,França,3
Quem foi o faraó mais famoso do Egito Antigo?,Tutancâmon,Ramsés II,Cleópatra,Akhenaton,1
Quem assinou a Lei Áurea no Brasil?,Dom Pedro I,Princesa Isabel,Getúlio Vargas,Floriano Peixoto,2
