Pergunta,Opção1,Opção2,Opção3,Opção4,Resposta
Qual é o maior planeta do Sistema Solar?,Marte,Vênus,Saturno,Júpiter,4
Qual é a capital da França?,Londres,Berlim,Paris,Madrid,3
Quem escreveu 'Dom Quixote'?,Shakespeare,Camões,Miguel de Cervantes,Dostoiévski,3
Qual é o animal mais rápido do mundo?,Guepardo,Falcão-peregrino,Leão,Cavalo,2
Qual é o símbolo químico do ouro?,Au,Ag,Fe,Pt,1
Quem pintou a Mona Lisa?,Van Gogh,Leonardo da Vinci,Picasso,Michelangelo,2
Qual é o maior oceano do mundo?,Atlântico,Índico,Pacífico,Ártico,3
Quantos ossos tem o corpo humano adulto?,206,208,210,212,1
O que significa a sigla 'WWW' na internet?,World Wide Weather,World Wide Web,Web Wireless Wave,World Web Window,2
Qual gás é essencial para a respiração humana?,Oxigênio,Carbono,Hidrogênio,Nitrogênio,1
